features,model,r2_score,mae
"('work_year', 'salary', 'salary_currency')",CatBoost,0.9929217834038785,1319.4303737367702
"('employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.9929095189189324,1911.3815857764218
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_location', 'company_size')",GradientBoosting,0.992902322979058,1850.5465228414446
"('work_year', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio')",GradientBoosting,0.9929002249849802,1978.196352189466
"('experience_level', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",GradientBoosting,0.9928980763744516,1965.0587906209705
"('experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.9928196735096672,1910.8734026474997
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.992816554368348,1614.1714088661158
"('work_year', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.9928164675806601,1884.783977204967
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",GradientBoosting,0.9928162479478391,1879.7309182086092
"('salary', 'salary_currency', 'employee_residence', 'remote_ratio')",GradientBoosting,0.9928019978689495,2016.1835439461395
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'company_location', 'company_size')",GradientBoosting,0.9927911691620526,1899.2858434424002
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio', 'company_size')",CatBoost,0.9927826813066721,1774.367029534618
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_location')",GradientBoosting,0.9927732431202616,1947.2684392644076
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",GradientBoosting,0.9927692575942946,1902.5276196752263
"('experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.992756377125741,1910.249979850414
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_location', 'company_size')",CatBoost,0.9927561600722348,1651.6248657067044
"('work_year', 'experience_level', 'employment_type', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.9927447759645293,1917.7168743490902
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'company_location', 'company_size')",GradientBoosting,0.992742831808521,1928.2588255254461
